id,name,drilling_started,drilling_completed,client_name,owner_name,depth_meters,purpose_is,method_is,drill_name,drill_operator_name,length_meters,is_closed,location_name,isn93_east,isn93_north,wgs84_latitude,wgs84_longitude
22371,VG-02,1976-07-19 00:00:00.0000000,1976-07-19 00:00:00.0000000,Bandaríska setuliðið,NULL,34.2,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Vogastapi,333534,389090,"63° 57' 53.89""N","22° 23' 56.86""W"
22372,VG-01,NULL,NULL,NULL,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Vogastapi,332300,389600,"63° 58' 8.18""N","22° 25' 29.42""W"
22390,KHF-01,2003-01-20 00:00:00.0000000,2003-01-21 00:00:00.0000000,Háfell ehf.,NULL,19,Kaldavatnshola,Bein hola,Trölli,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Kúagerði,344475,393731,"64° 0' 41.93""N","22° 10' 51.14""W"
22391,KG-01,1983-04-01 00:00:00.0000000,1983-04-30 00:00:00.0000000,Stálfélagið hf.,NULL,20,Rannsóknarhola,Bein hola,Óþekkti loftborinn,NULL,NULL,0,Kúagerði,344860,394360,"64° 1' 2.84""N","22° 10' 25.17""W"
22392,KG-02,1983-04-01 00:00:00.0000000,1983-04-30 00:00:00.0000000,Stálfélagið hf.,NULL,NULL,Rannsóknarhola,Bein hola,Óþekkti loftborinn,NULL,NULL,0,Kúagerði,344865,394365,"64° 1' 3.1""N","22° 10' 24.82""W"
22393,KG-03,1983-04-01 00:00:00.0000000,1983-04-30 00:00:00.0000000,Stálfélagið hf.,NULL,NULL,Rannsóknarhola,Bein hola,Óþekkti loftborinn,NULL,NULL,0,Kúagerði,344870,394370,"64° 1' 3.18""N","22° 10' 24.47""W"
22394,KG-04,1983-04-01 00:00:00.0000000,1983-04-30 00:00:00.0000000,Stálfélagið hf.,NULL,NULL,Rannsóknarhola,Bein hola,Óþekkti loftborinn,NULL,NULL,0,Kúagerði,344875,394375,"64° 1' 3.35""N","22° 10' 24.12""W"
22395,KG-05,1983-04-01 00:00:00.0000000,1983-04-30 00:00:00.0000000,Stálfélagið hf.,NULL,NULL,Rannsóknarhola,Bein hola,Óþekkti loftborinn,NULL,NULL,0,Kúagerði,344880,394380,"64° 1' 3.51""N","22° 10' 23.77""W"
22396,KG-06,2002-04-02 00:00:00.0000000,2002-04-02 00:00:00.0000000,Vegagerð ríkisins,NULL,12.7,Rannsóknarhola,Bein hola,Trítill,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Kúagerði,344316.7,393139.7,"64° 0' 22.60""N","22° 11' 0.59""W"
22397,KG-07,2002-04-03 00:00:00.0000000,2002-04-03 00:00:00.0000000,Vegagerð ríkisins,NULL,14.6,Rannsóknarhola,Bein hola,Trítill,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Kúagerði,344507.5,393154.6,"64° 0' 23.39""N","22° 10' 46.62""W"
22398,KG-08,2002-04-03 00:00:00.0000000,2002-04-03 00:00:00.0000000,Vegagerð ríkisins,NULL,16.5,Rannsóknarhola,Bein hola,Trítill,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Kúagerði,344577.6,393020.5,"64° 0' 19.18""N","22° 10' 40.98""W"
22399,KG-09,2002-04-03 00:00:00.0000000,2002-04-03 00:00:00.0000000,Vegagerð ríkisins,NULL,10.8,Rannsóknarhola,Bein hola,Trítill,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Kúagerði,344420.6,392946.9,"64° 0' 16.55""N","22° 10' 52.24""W"
22400,KG-10,2002-04-04 00:00:00.0000000,2002-04-04 00:00:00.0000000,Vegagerð ríkisins,NULL,10.5,Rannsóknarhola,Bein hola,Trítill,Ræktunarsamband Flóa og Skeiða hf.,NULL,0,Kúagerði,344885,394385,"64° 1' 3.68""N","22° 10' 23.42""W"
22401,TR-01,2001-01-11 00:00:00.0000000,2001-06-30 00:00:00.0000000,Jarðlind ehf.,NULL,2307,Gufuöflun,Bein hola,Jötunn,Jarðboranir hf.,NULL,0,Trölladyngja,346974.4,384998.1,"63° 56' 4.30""N","22° 7' 15.70""W"
22402,TR-02,2006-04-01 00:00:00.0000000,2006-06-02 00:00:00.0000000,Hitaveita Suðurnesja,NULL,2280,Gufuöflun,Bein hola,Geysir,Jarðboranir hf.,NULL,0,Trölladyngja,347800,384692,"63° 55' 55.74""N","22° 6' 14.8""W"
22501,ÍMK-01,NULL,NULL,Íslensk matorka ehf.,NULL,NULL,Leitarhola,Bein hola,NULL,NULL,NULL,0,Kálfatjörn,339300,394400,"64° 0' 54.96""N","22° 17' 14.6""W"
22502,ÍMK-02,NULL,NULL,Íslensk matorka ehf.,NULL,NULL,Leitarhola,Bein hola,NULL,NULL,NULL,0,Kálfatjörn,339305,394405,"64° 0' 55.13""N","22° 17' 13.71""W"
22503,ÍMK-03,NULL,NULL,Íslensk matorka ehf.,NULL,NULL,Leitarhola,Bein hola,NULL,NULL,NULL,0,Kálfatjörn,339310,394410,"64° 0' 55.30""N","22° 17' 13.36""W"
22551,IMT-01,NULL,NULL,Íslensk matorka ehf.,NULL,NULL,Hitastigulshola,Bein hola,NULL,NULL,NULL,0,Flekkuvík,341830,395380,"64° 1' 30.77""N","22° 14' 11.77""W"
22552,IMT-02,NULL,NULL,Íslensk matorka ehf.,NULL,NULL,Hitastigulshola,Bein hola,NULL,NULL,NULL,0,Flekkuvík,341835,395385,"64° 1' 30.94""N","22° 14' 11.42""W"
22553,IMT-03,NULL,NULL,Íslensk matorka ehf.,NULL,NULL,Hitastigulshola,Bein hola,NULL,NULL,NULL,0,Flekkuvík,341840,395390,"64° 1' 31.11""N","22° 14' 11.7""W"
23072,"WL-09, #9",NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Miðnesheiði,324328,389835,"63° 58' 1.49""N","22° 35' 15.28""W"
23073,WL-03,NULL,NULL,Íslenzkir Aðalverktakar hf,NULL,NULL,Kaldavatnshola,Bein hola,NULL,NULL,NULL,0,Hafnaheiði,318444,388752,"63° 57' 15.62""N","22° 42' 22.23""W"
